GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Acetobacter	nitrogenifigens		56:1902*	sp. nov. (VP)	Dutta and Gachhui 2006		1	RG1, MTCC 6912, LMG 23498	785323	
Acetobacter	oboediens		48:939*	sp. nov. (VP)	Sokollek et al. 1998		1	DSM 11826, LTH 2460	772507	789894
Acetobacter	oeni		56:23*	sp. nov. (VP)	Silva et al. 2006		1	B13, CECT 5830, LMG 21952	783238	
Acetobacter	okinawensis		63:1	sp. nov. (VL)	Iino et al. 2013		1	1-35, JCM 25146, LMG 26457, NRIC 0658	790310	
Acetobacter	orientalis		52:3	sp. nov. (VL)	Lisdiyanti et al. 2002		1	21F-2, IFO 16606, JCM 11195, DSM 15550	772508	
Acetobacter	orleanensis		51:263	comb. nov. (VL)	(Henneberg 1906) Lisdiyanti et al. 2001		1	ATCC 12876, DSM 4492, IMET 10752, NCIMB 8622	772509	
Acetobacter	papayae		63:1	sp. nov. (VL)	Iino et al. 2013		1	1-25, JCM 25143, LMG 26456, NRIC 0655	790356	
Acetobacter	pasteurianus		30:239 (AL)	species (AL)	(Hansen 1879) Beijerinck and Folpmers 1916		1	DSM 3509, IMET 10733, LMD 22.1	772511	
Acetobacter	pasteurianus	ascendens	30:239 (AL)	subspecies (AL), heterotypic syn.	(Henneberg 1898) De Ley and Frateur 1974	synonymy: IJSEM 63:2371* (List of Changes in Taxonomic Opinion No. 18)	1	LMD 51.1	783239	772511
Acetobacter	pasteurianus	estunensis	30:239 (AL)	subspecies (AL)	(Carr 1958) De Ley and Frateur 1974		1	ATCC 23753, DSM 4493, NCIMB 8935	772512	772495
Acetobacter	pasteurianus	lovaniensis	30:239 (AL)	subspecies (AL)	(Frateur 1950) De Ley and Frateur 1974		1	ATCC 12875, DSM 4491, IMET 10734, NCIMB 8620	772513	772502
Acetobacter	pasteurianus	paradoxus	30:239 (AL)	subspecies (AL), heterotypic syn.	(Frateur 1950) De Ley and Frateur 1974	synonymy: IJSEM 63:2371* (List of Changes in Taxonomic Opinion No. 18)	1	LMD 53.6	783240	772511
Acetobacter	pasteurianus	pasteurianus	30:239 (AL)	subspecies (AL)	(Hansen 1879) De Ley and Frateur 1974		1		772514	772511
Acetobacter	peroxydans		30:239 (AL)	species (AL), heterotypic syn.	Visser't Hooft 1925		1	ATCC 12874, DSM 2347	772515	772511
Acetobacter	persici		63:1	sp. nov. (VL)	Iino et al. 2013	the original spelling of the specific epithet, <i>persicus</i> (sic), has been corrected on validation	1	T-120, JCM 25330, LMG 26458	790357	
Acetobacter	pomorum		48:940*	sp. nov. (VP)	Sokollek et al. 1998		1	DSM 11825, LTH 2458	772516	
Acetobacter	senegalensis		57:1580*	sp. nov. (VP)	Ndoye et al. 2007		1	CWBI-B418, LMG 23690, DSM 18889	785826	
Acetobacter	sicerae		64:2414*	sp. nov. (VP)	Li et al. 2014			LMG 1531, NCIMB 8941	791950	
Acetobacter	suratthaniensis		66:4299	sp. nov. (VL)	Pitiwittayakul et al. 2016	the original spelling of the specific epithet, <i>suratthanensis</i> (sic), has been corrected on validation		AI32, BCC 26087, NBRC 111399	794706	
Acetobacter	syzygii		52:3	sp. nov. (VL)	Lisdiyanti et al. 2002		1	9H-2, IFO 16604, JCM 11197, DSM 15548	772520	
Acetobacter	thailandicus		66:1913	sp. nov. (VL)	Pitiwittayakul et al. 2016			AD25, BCC 15839, NBRC 103583	794091	
Acetobacter	tropicalis		51:263	sp. nov. (VL)	Lisdiyanti et al. 2001		1	IFO 16470, JCM 10947, Ni-6b, NRIC 0312, NBRC 16470, DSM 15551	772521	
Acetobacter	xylinus		34:270	comb. nov. (VL), homotypic syn.	(Brown 1886) Yamada 1984	nom. corrig.: IJSB 47:585*	1	DSM 6513, NCIB 11664	772522	789888
Acetobacter	xylinus	sucrofermentans	46:836	subsp. nov. (VL)	Toyosaki et al. 1996	nom. corrig.: IJSB 47:585*; regarded as synonym of <I>Gluconacetobacter xylinus</I> {8560}	1	BPR 2001, JCM 9730	783244	789898
Acetobacter	xylinus	xylinus	34:270	subsp. nov. (VL)	(Brown 1886) Toyosaki et al. 1996	subspecies automatically created according to Rule 46; nom. corrig.: IJSB 47:585*	1	DSM 6513, NCIB 11664	772523	789888
Acetobacterium			30:239 (AL)	genus (AL)	Balch et al. 1977				514992	
Acetobacterium	bakii		47:242	sp. nov. (VL)	Kotsyurbenko et al. 1997		1	DSM 8239, Z-4391	772524	
Acetobacterium	carbinolicum		35:375	sp. nov. (VL)	Eichler and Schink 1985 emend. Paarup et al. 2006		1	DSM 2925, WoProp 1	772525	
Acetobacterium	fimetarium		47:242	sp. nov. (VL)	Kotsyurbenko et al. 1997		1	DSM 8238, Z-4290	772527	
Acetobacterium	malicum		40:470	sp. nov. (VL)	Tanaka and Pfennig 1990		1	DSM 4132, MuME1	772528	
Acetobacterium	paludosum		47:242	sp. nov. (VL)	Kotsyurbenko et al. 1997		1	DSM 8237, Z-4092	772529	
Acetobacterium	tundrae		51:793	sp. nov. (VL)	Simankova et al. 2001		1	DSM 9173, Z-4493	772532	
Acetobacterium	wieringae		33:438	sp. nov. (VL)	Braun and Gottschalk 1983		1	C, DSM 1911, JCM 2380	772533	
Acetobacterium	woodii		30:240 (AL)	species (AL)	Balch et al. 1977		1	ATCC 29683, DSM 1030, JCM 2381	772534	
Acetobacteroides			64:2989*	gen. nov. (VP)	Su et al. 2014				518609	
Acetobacteroides	hydrogenigenes		64:2990*	sp. nov. (VP)	Su et al. 2014			RL-C, JCM 17603, DSM 24657, CGMCC 1.5173	792130	
Acetofilamentum			39:93	gen. nov. (VL)	Dietrich et al. 1989				514994	
Acetofilamentum	rigidum		39:93	sp. nov. (VL)	Dietrich et al. 1989		1	DSM 20769, MN	772536	
Acetogenium			33:886*	gen. nov. (VP)	Leigh and Wolfe 1983				514995	
Acetogenium	kivui		33:886*	sp. nov. (VP)	Leigh and Wolfe 1983		1	ATCC 33488, DSM 2030	772537	782506
Acetohalobium			40:470	gen. nov. (VL)	Zhilina and Zavarzin 1990				514996	
Acetohalobium	arabaticum		40:470	sp. nov. (VL)	Zhilina and Zavarzin 1990		1	DSM 5501, Z-7288	772538	
Acetomicrobium			35:223	gen. nov. (VL)	Soutschek et al. 1985 emend. Ben Hania et al. 2016	emended description: IJSEM 66:1508*			514997	
Acetomicrobium	faecale		38:136	sp. nov. (VL)	Winter et al. 1988	nom. corrig.: IJSB 48:1073*; <I>Acetomicrobium faecalis</I> (sic)	1	DSM 20678	772540	793305
Acetomicrobium	faecalis		38:136	orthographically incorrect name	Winter et al. 1988	nom. corrig. IJSB 48:1073*	1		783245	793305
Acetomicrobium	flavidum		35:223	sp. nov. (VL)	Soutschek et al. 1985		1	DSM 20664	772541	
Acetomicrobium	hydrogeniformans		66:1508*	comb. nov. (AL)	(Maune and Tanner 2012) Ben Hania et al. 2016		1	OS1, DSM 22491, ATCC BAA-1850	793979	
Acetomicrobium	mobile		66:1508*	comb. nov. (VP)	(Menes and Muxí 2002) Ben Hania et al. 2016		1	NGA, DSM 13181, JCM 12221, ATCC BAA-54	793977	
Acetomicrobium	thermoterrenum		66:1508*	comb. nov. (VP)	(Rees et al. 1997) Ben Hania et al. 2016		1	RWcit2, DSM 13490, ACM 5076	793978	
Acetonema			42:191	gen. nov. (VL)	Kane and Breznak 1992				514999	
Acetonema	longum		42:191	sp. nov. (VL)	Kane and Breznak 1992		1	APO-1, DSM 6540	772544	
Acetothermus			38:328	gen. nov. (VL)	Dietrich et al. 1988				515000	
Acetothermus	paucivorans		38:328	sp. nov. (VL)	Dietrich et al. 1988		1	DSM 20768, TN	772545	
Acholeplasma			30:240 (AL)	genus (AL)	Edward and Freundt 1970				515002	
Acholeplasma	axanthum		30:240 (AL)	species (AL)	Tully and Razin 1970		2, t	ATCC 25176	783246	
Acholeplasma	brassicae		44:683*	sp. nov. (VP)	Tully et al. 1994		1	0502, ATCC 49388	783247	
Acholeplasma	cavigenitalium		42:591*	sp. nov. (VP)	Hill 1992		1	GP3, NCTC 11727	783248	
Acholeplasma	entomophilum		38:164*	sp. nov. (VP)	Tully et al. 1988		1	ATCC 51578, TAC	783249	784199
Acholeplasma	equifetale		30:240 (AL)	species (AL)	Kirchoff 1974		1	ATCC 29724	783250	
Acholeplasma	florum		34:14*	sp. nov. (VP)	McCoy et al. 1984		1	ATCC 33453, L1	783251	784200
Acholeplasma	granularum		30:240 (AL)	species (AL)	(Switzer 1964) Edward and Freundt 1970		2, t	ATCC 19168	783252	
Acholeplasma	hippikon		30:240 (AL)	species (AL)	Kirchoff 1974		2, t	ATCC 29725	783253	
Acholeplasma	laidlawii		30:240 (AL)	species (AL)	(Sabin 1941) Edward and Freundt 1970		2, t	ATCC 23206, IMET 10894	772547	
Acholeplasma	modicum		30:240 (AL)	species (AL)	Leach 1973		2, t	ATCC 29102	783254	
Acholeplasma	morum		30:653*	sp. nov. (VP)	Rose et al. 1980		2, t	72-043, ATCC 33211	783255	
Acholeplasma	multilocale		42:516*	sp. nov. (VP)	Hill et al. 1992		1	NCTC 11723, PN525	783256	
Acholeplasma	oculi		30:240 (AL)	species (AL)	Al-Aubaidi et al. 1973		2, t	ATCC 27350	783257	
Acholeplasma	palmae		44:683*	sp. nov. (VP)	Tully et al. 1994		1	ATCC 49389, J233	783258	
Acholeplasma	parvum		33:348*	sp. nov. (VP)	Atobe et al. 1983		1	ATCC 29892, H23M	783259	
Acholeplasma	pleciae		54:1952*	comb. nov. (VP)	(Tully et al. 1994) Knight Jr. 2004		1	ATCC 49582, NBRC 100476, PS-1	783260	
Acholeplasma	seiffertii		41:48*	sp. nov. (VP)	Bonnet et al. 1991		1	ATCC 49495, F7	783261	784205
Acholeplasma	vituli		50:1130*	sp. nov. (VP)	Angulo et al. 2000		1	ATCC 700667, FC 097-2	783262	
Achromatium			30:240 (AL)	genus (AL)	Schewiakoff 1893				517162	
Achromatium	oxaliferum		30:240 (AL)	species (AL)	Schewiakoff 1893		1	no culture isolated	783263	
Achromobacter			31:478*	gen. nov. (VP), nom. rev.	Yabuuchi and Yano 1981 emend. Yabuuchi et al. 1998	re-assessed status, transfer to <I>Alcaligenes</I> objected; Microbiol. Immunol. 42:429 (1998)			515003	
Achromobacter	aegrifaciens		64:1	sp. nov. (VL)	Vandamme et al. 2014		2	LMG 26852, CCUG 62438	791414	
Achromobacter	agilis		66:3714*	nom. nov. (VP)	(Ampola and Garino 1896) Vandamme et al. 2016			LMG 3411, CCUG 62454	794605	
Achromobacter	aloeverae		67:40*	sp. nov. (VP)	Kuncharoen et al. 2017			AVA-1, LMG 29108, NBRC 111463, PCU 352, TISTR 2383	795050	
Achromobacter	animicus		63:2365	sp. nov. (VP)	Vandamme et al. 2013		1, +	LMG 26690, CCUG 61966	790791	
Achromobacter	anxifer		64:1	sp. nov. (VL)	Vandamme et al. 2014		1, +	LMG 26857, CCUG 62444	791415	
Achromobacter	deleyi		66:3716*	sp. nov. (VP)	Vandamme et al. 2016			LMG 3458, CCUG 62433	794613	
Achromobacter	denitrificans		53:1829*	comb. nov. (VP)	(Rüger and Tan 1983) Coenye et al. 2003		2	ATCC 15173, CCUG 407, CIP 77.15, DSM 30026, IFO 15125, JCM 5490, LMG 1231, NCTC 8582	772551	
Achromobacter	dolens		64:1	sp. nov. (VL)	Vandamme et al. 2014		2	LMG 26840, CCUG 6242	791416	
Achromobacter	insolitus		53:1823*	sp. nov. (VP)	Coenye et al. 2003		1, +	API 201-3-84, CCUG 47057, LMG 6003	783264	
Achromobacter	insuavis		64:1	sp. nov. (VL)	Vandamme et al. 2014		2	LMG 26845, CCUG 62426	791417	
Achromobacter	kerstersii		66:3714*	sp. nov. (VP)	Vandamme et al. 2016			LMG 3441, CCUG 62449	794611	
Achromobacter	marplatensis		61:2236*	sp. nov. (VP)	Gomila et al. 2011 emend. Vandamme et al. 2013 emend. Vandamme et al. 2016	emended descriptions: IJSEM 63:2371 (List of Changes in Taxonomic Opinion No. 18) and IJSEM 66:1643*	2	B2, CCM 7608, CCUG 56371, CECT 7342	789403	
Achromobacter	mucicolens		63:2365	sp. nov. (VP)	Vandamme et al. 2013		2	LMG 26685, CCUG 61961	790792	
Achromobacter	pestifer		66:3714*	sp. nov. (VP)	(ex Frankland and Frankland 1887) Vandamme et al. 2016			LMG 3431, CCUG 61959	794606	
Achromobacter	piechaudii		48:1083	comb. nov. (VL)	(Kiredjian et al. 1986) Yabuuchi et al. 1998		2	CIP 60.75, DSM 10342, Hugh 366-5, IAM 12591, LMG 1873	772562	
Achromobacter	pulmonis		63:2365	sp. nov. (VP)	Vandamme et al. 2013		1, +	LMG 26696, CCUG 61972	790793	
Achromobacter	ruhlandii		48:1083	comb. nov. (VL)	(Packer and Vishniac 1955) Yabuuchi et al. 1998 emend. Vandamme et al. 2013	emended description: IJSEM 63:2371* (List of Changes in Taxonomic Opinion No. 18)	2, +	ATCC 15749, DSM 653	772563	
Achromobacter	sediminum		64:2248*	sp. nov. (VP)	Zhang et al. 2014			XH089, DSM 27279, JCM 19223	791951	793284
Achromobacter	spanius		53:1823*	sp. nov. (VP)	Coenye et al. 2003		1, +	API 198-2-84, CCUG 47062, LMG 5911	783265	
Achromobacter	spiritinus		63:2365	sp. nov. (VP), heterotypic syn.	Vandamme et al. 2013	synonymy: IJSEM 66:1641*	2	LMG 26692, CCUG 61968	790801	789403
Achromobacter	xylosoxidans		31:477*	sp. nov., nom. rev. (VP)	(ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981 emend. Yabuuchi et al. 1998		2	ATCC 27061	772566	772568
Achromobacter	xylosoxidans	denitrificans	48:1083	comb. nov. (VL), homotypic syn.	(Rüger and Tan 1983) Yabuuchi et al. 1998		2	ATCC 15173, DSM 30026, NCTC 8582	772567	772551
Achromobacter	xylosoxidans	xylosoxidans	31:477*	comb. nov. (VP)	(ex Yabuuchi and Ohyama 1971) Yabuuchi et al. 1998	subspecies automatically created according to Rule 46	2	ATCC 27061, DSM 10346, DSM 2402	772568	
Acidaminobacter			35:223	gen. nov. (VL)	Stams and Hansen 1985				515005	
Acidaminobacter	hydrogenoformans		35:223	sp. nov. (VL)	Stams and Hansen 1985		1	DSM 2784, glu 65	772570	
Acidaminococcus			30:240 (AL)	genus (AL)	Rogosa 1969 emend. Cook et al. 1994 emend. Jumas-Bilak et al. 2007	emend. description: IJSB 44:577* and IJSEM 57:2318*			515006	
Acidaminococcus	fermentans		30:241 (AL)	species (AL)	Rogosa 1969 emend. Cook et al. 1994	emend. description: IJSB 44:577*	2, ht	ATCC 25085, DSM 20731	772571	
Acidaminococcus	intestini		57:2318*	sp. nov. (VP)	Jumas-Bilak et al. 2007		2	ADV 255.99, AIP 283.01, CIP 108586, CCUG 50930	786784	
Acidianus			36:559*	gen. nov. (VP)	Segerer et al. 1986 emend. Plumb et al. 2007				516964	
Acidianus	ambivalens		46:836	comb. nov. (VL)	(Zillig and Böck 1987) Fuchs et al. 1996		1	DSM 3772, Lei 10	772572	
Acidianus	brierleyi		36:559*	comb. nov. (VP)	(Zillig et al. 1980) Segerer et al. 1986		1	DSM 1651	772573	
Acidianus	infernus		36:559*	sp. nov. (VP)	Segerer et al. 1986		1	DSM 3191, So4a	772574	
Acidianus	sulfidivorans		57:1423*	sp. nov. (VP)	Plumb et al. 2007		1	JP7, DSM 18786, JCM 13667	785735	
Acidibacter			67:1	gen. nov. (VL)	Falagán and Johnson 2017				518968	
Acidibacter	ferrireducens		67:1	sp. nov. (VL)	Falagán and Johnson 2017			NCCB 100460, DSM 27237, MCF85	794262	
Acidicaldus			56:1459	gen. nov. (VL)	Johnson et al. 2006				517393	
Acidicaldus	organivorans		56:1459	sp. nov. (VL)	Johnson et al. 2006		1	Y008, DSM 16953, ATCC BAA-1105	785242	
Acidicapsa			62:1519*	gen. nov. (VP)	Kulichevskaya et al. 2012 emend. Falágan et al. 2017				518217	
Acidicapsa	acidiphila		67:2075	sp. nov. (VL)	Falágan et al. 2017			MCF10, DSM 29819, NCCB 100576	795019	
Acidicapsa	acidisoli		67:867*	sp. nov. (VP)	Matsuo et al. 2017			SK-11, DSM 100508, NBRC 111227	795185	
Acidicapsa	borealis		62:1519*	sp. nov. (VP)	Kulichevskaya et al. 2012		1	KA1, DSM 23886, LMG 25897, VKM B-2678	789968	
Acidicapsa	ferrireducens		67:2075	sp. nov. (VL)	Falágan et al. 2017			MCF9, DSM 28997, NCCB 100575	795018	
Acidicapsa	ligni		62:1519*	sp. nov. (VP)	Kulichevskaya et al. 2012		1	WH120, LMG 26244, VKM B-2677, NCCB 100371	789969	
Acidiferrobacter			61:2563	gen. nov. (VL)	Hallberg et al. 2011				518069	
Acidiferrobacter	thiooxydans		61:2563	sp. nov. (VL)	Hallberg et al. 2011		1	DSM 2392, JCM 17358, m-1	789099	
Acidihalobacter			65:3643*	gen. nov. (VP)	Cárdenas et al. 2015				515007	
Acidihalobacter	prosperus		65:3644*	sp. nov. (VP)	Cárdenas et al. 2015			DSM 5130, JCM 30709	793279	
Acidilobus			50:2007*	gen. nov. (VP)	Prokofeva et al. 2000 emend. Prokofeva et al. 2009	emended description: IJSEM 59:3120/3121*			515008	
Acidilobus	aceticus		50:2007*	sp. nov. (VP)	Prokofeva et al. 2000		1	1904, DSM 11585	772577	
Acidilobus	saccharovorans		59:3121*	sp. nov. (VP)	Prokofeva et al. 2009		1	345-15, DSM 16705, VKM B-2471	772592	
Acidimicrobium			46:1189	gen. nov. (VL)	Clark and Norris 1996				515009	
Acidimicrobium	ferrooxidans		46:1189	sp. nov. (VL)	Clark and Norris 1996		1	DSM 10331, ICP	772578	
Acidiphilium			31:331*	gen. nov. (VP)	Harrison 1981 emend. Kishimoto et al. 1995 emend. Okamura et al. 2015	emend. description: Syst. Appl. Microbiol. 18:90 (1995) and IJSEM 65:46*			515010	
Acidiphilium	acidophilum		48:1396*	comb. nov. (VP)	(Harrison 1983) Hiraishi et al. 1998		1	ATCC 27807, DSM 700	772579	
Acidiphilium	aminilyticum		44:182	sp. nov. (VL)	Kishimoto et al. 1994	nom. corrig.: IJSB 48:1073*; <I>Acidiphilium aminolytica</I> (sic)	1	101, ATCC 51361, DSM 11237, JCM 8796	772580	772591
Acidiphilium	aminolytica		44:182	orthographically incorrect name	Kishimoto et al. 1994	nom. corrig. IJSB 48:1073*	1		783266	772591
Acidiphilium	angustum		36:200*	sp. nov. (VP)	Wichlacz et al. 1986		1	ATCC 35903, KLB	783267	
Acidiphilium	cryptum		31:331*	sp. nov. (VP)	Harrison 1981		1	ATCC 33463, DSM 2389, Lhet2	772581	
Acidiphilium	facile		36:200*	sp. nov. (VP)	Wichlacz et al. 1986	nom. corrig.: IJSB 48:1073*; <I>Acidiphilium facilis</I> (sic)	1	ATCC 35904, PW2	783268	783273
Acidiphilium	facilis		36:200*	orthographically incorrect name	Wichlacz et al. 1986	nom. corrig. IJSB 48:1073*	1		783269	783273
Acidiphilium	iwatense		65:47*	sp. nov. (VP)	Okamura et al. 2015			MS8, NBRC 107608, KCTC 23505	792431	
Acidiphilium	multivorum		45:197	sp. nov. (VL)	Wakao et al. 1995		1	AIU 301, DSM 11245, JCM 8867	772582	
Acidiphilium	organovorum		36:143*	sp. nov. (VP)	Lobos et al. 1986		1	ATCC 43141	783270	
Acidiphilium	rubrum		36:200*	sp. nov. (VP)	Wichlacz et al. 1986		1	ATCC 35905, OP	783271	
Acidipila			65:2777	gen. nov. (VL)	Okamura et al. 2015	subdivision I of the phylum <i>Acidobacteria</i>			518785	
Acidipila	dinghuensis		66:82*	sp. nov. (VP)	Jiang et al. 2016			DHOF10, CGMCC 1.13007, KCTC 42631	793733	
Acidipila	rosea		65:2777	sp. nov. (VL)	Okamura et al. 2015			AP8, KCTC 23427, NBRC 107607	793213	
Acidiplasma			59:2822*	gen. nov. (VP)	Golyshina et al. 2009				515011	
Acidiplasma	aeolicum		59:2822*	sp. nov. (VP)	Golyshina et al. 2009		1	V, DSM 18409, JCM 14615	772583	
Acidiplasma	cupricumulans		59:2822*	comb. nov. (VP)	(Hawkes et al. 2008) Golyshina et al. 2009		1	BH2, DSM 16651, JCM 13668	788161	
Acidipropionibacterium			66:4429*	gen. nov. (VP)	Scholz and Kilian 2016				519071	
Acidipropionibacterium	acidipropionici		66:4430*	comb. nov. (VP)	(Orla-Jensen 1909) Scholz and Kilian 2016		1	ATCC 25562, CIP 103025, DSM 4900	794760	
