Abies homolepis
Bouteloua dactyloides
Brachypodium distachyon
Brachythecium rivulare
Brasenia schreberi
Brassica carinata
Brassica juncea
Brassica napus
Brassica nigra
Brassica oleracea
Brassica rapa
Bremia lactucae
Bromus tectorum
Bryoandersonia illecebra
Bryoria tenuis
Bryum argenteum
Bucklandiella orthotrichacea
Buxbaumia aphylla
Cairneyella variabilis
Cajanus cajan
Caldora VP642b
Calliarthron tuberculosum
Calophyllum inophyllum
Calotropis procera
Calycanthus floridus
Calypogeia muelleriana
Camelina sativa
Camellia oleifera
Camellia sinensis
Cananga odorata
Canella winterana
Cannabis sativa
Capra hircus
Capsicum annuum
Carica papaya
Carludovica palmata
Cassytha filiformis
Castilleja paramensis
Catharanthus roseus
Cenchrus americanus
Cephalothrix SAG
Cephalotus follicularis
Ceramium japonicum
Ceratophyllum demersum
Ceratophyllum submersum
Chaetosphaeridium globosum
Chakia 8
Chalicogloea CCALA
Chara vulgaris
Cheilotheca macrocarpa
Chenopodium pallidicaule
Chenopodium quinoa
Cherax quadricarinatus
Chimonanthus praecox
Chionoloma tenuirostre
Chloranthus multistachys
Chlorella sorokiniana
Chlorokybus atmophyticus
Chondrus crispus
Choreocolax polysiphoniae
Chorispora bungeana
Christensenellaceae R-7
Chrysobalanus icaco
Chrysosporum KA1.1
Cicer arietinum
Cinnamodendron ekmanii
Cinnamomum camphora
Cissampelos pareira
Citrullus lanatus
Citrus maxima
Citrus medica
Citrus trifoliata
Citrus x
CL500-29 marine
Clade Ia
Clade Ib
Cladophialophora bantiana
Cladosiphon okamuranus
Climacium americanum
Closterium baillyanum
Coccocarpia palmicola
Cocculus trilobus
Codriophorus aciculare
Codriophorus laevigatus
Codriophorus varius
Coeloseira compressa
Colletotrichum acutatum
Colletotrichum aenigma
Colletotrichum fioriniae
Colletotrichum fructicola
Colletotrichum gloeosporioides
Colletotrichum lindemuthianum
Colletotrichum lupini
Colletotrichum siamense
Colletotrichum tamarilloi
Colobanthus quitensis
Colubraria reticulata
Cordyceps brongniartii
Cordyceps militaris
Coriobacteriaceae UCG-002
Coriobacteriaceae UCG-003
Corynaea crassa
Costus pictus
Couepia guianensis
CPla-4 termite
Croomia pauciflora
Crossosoma bigelovii
Cryptocarya meisneriana
Cucumis melo
Cucumis sativus
Cucurbita moschata
Cucurbita pepo
Cunninghamia lanceolata
Curcuma longa
Cuscuta australis
Cuscuta gronovii
Cuscuta pentagona
Cuscuta suaveolens
Cyanomargarita APA-RS9
Cycas revoluta
Cycas taitungensis
Cymbomonas tetramitiformis
Cynara cardunculus
Cynomorium coccineum
Cytinus ruber
Dahlia pinnata
Daphnandra micrantha
Dapisostemonum CCIBt
Daucus carota
Defluviitaleaceae UCG-011
Degeneria vitiensis
Dendrobium catenatum
Desmonostoc PCC-6302
Desmonostoc PCC-7422
dgA-11 gut
Dianthus caryophyllus
Dianthus superbus
Dicranum scoparium
Didymeles perrieri
Digitalis purpurea
Dioon edule
Diphasiastrum digitatum
Diphyscium foliosum
Diplazium pycnocarpon
Diplostephium hartwegii
Dorcoceras hygrometricum
Doryphora sassafras
Drimys winteri
Dumontia simplex
Echinochloa colona
Echinococcus granulosus
Echinogammarus veneris
Eichhornia paniculata
Elaeis guineensis
Elaeocarpus photiniifolius
Elliptochloris marina
Elodea nuttallii
Ensete ventricosum
Entosthodon obtusus
Epidermophyton floccosum
Epipremnum aureum
Epixenosomes of
Equisetum arvense
Erodium chrysanthum
Erodium pelargoniflorum
Erodium trifolium
Eruca vesicaria
Erycina pusilla
Erysipelotrichaceae UCG-002
Erysipelotrichaceae UCG-003
Erysipelotrichaceae UCG-004
Erysipelotrichaceae UCG-006
Erysipelotrichaceae UCG-007
Erysipelotrichaceae UCG-008
Erysipelotrichaceae UCG-009
Erysipelotrichaceae UCG-010
Erythranthe guttata
Eucheuma denticulatum
Euphorbia tirucalli
Eupomatia bennettii
Euptelea polyandra
euryarchaeote SCGC
Eutrema salsugineum
Ewamiania TS0513
Family XIII
Ferrocalamus rimosivaginus
Ficus carica
Firmicutes oral
Flatbergium sericeum
Fonsecaea erecta
Fonsecaea multimorphosa
Fragaria x
Fraxinus excelsior
freshwater sediment
Fritillaria cirrhosa
FS140-16B-02 marine
Fucus vesiculosus
FukuN18 freshwater
Funaria hygrometrica
Fusarium circinatum
Fusarium mangiferae
Fusarium solani
Fusarium temperatum
Galbulimima belgraveana
Galeola lindleyana
Gelidium arborescens
Gelidium crinale
Gelidium elegans
Gelidium galapagense
Gelidium isabelae
Gelidium sclerophyllum
Gelidium sinicola
Gelidium vagum
Genlisea aurea
Geranium brycei
Geranium himalayense
Geranium macrorrhizum
Geranium maderense
Gerbera hybrid
Ginkgo biloba
GKS98 freshwater
Gleditsia sinensis
Glycine max
Gnetum gnemon
Gnetum montanum
Gossypium arboreum
Gossypium barbadense
Gossypium harknessii
Gossypium hirsutum
Gossypium raimondii
Gracilaria changii
Gracilaria chilensis
Gracilaria chorda
Gracilaria salicornia
Gracilaria vermiculophylla
Gracilariophila oryzoides
Gracilariopsis andersonii
Gracilariopsis lemaneiformis
Graminella nigrifrons
Grateloupia angusta
Grateloupia catenata
Grateloupia filicina
Grateloupia lanceola
Grateloupia livida
Grateloupia taiwanensis
Grateloupia turuturu
Grevillea robusta
Grylloblatta bifratrilecta
Gyrocarpus americanus
Haemonchus placei
Haloleptolyngbya KR2005-106
halophilic archaeon
Halotia CENA158
Hedycarya arborea
Hedyosmum arborescens
Helianthus annuus
Helosis cayennensis
Hernandia ovigera
Hesperelaea palmeri
Heterosigma akashiwo
Hevea brasiliensis
hgcI clade
Hibiscus syriacus
Hildenbrandia rubra
Hirsutella minnesotensis
Hirtella physophora
Hirtella racemosa
Histiona aroides
hoa5-07d05 gut
Hordeum bulbosum
Hordeum pubiflorum
Hordeum vulgare
Hortonia floribunda
hot springs
Houttuynia cordata
HSB OF53-F07
Humulus lupulus
Huperzia lucidula
Hydnora africana
Hylocomiastrum pyrenaicum
Hyoscyamus niger
hypersaline lake
Hypnum imponens
Hypomyces aurantius
Hypomyces chrysospermus
Hypseocharis pimpinellifolia
Hypsibius dujardini
Idiospermum australiense
Illicium floridanum
Incertae Sedis
Iphinoe LOS-B1
Ipomoea batatas
Ipomoea purpurea
Isaria tenuipes
Isoetes engelmannii
Isoetes histrix
Isoetes taiwanensis
Jakoba bahamiensis
Jakoba libera
Jatropha curcas
JCM 18997
JGI 0001001-H03
JTB255 marine
Juncus effusus
Juniperus virginiana
Kadsura japonica
Kamptonema BDU
Kamptonema PCC-6407
Kappaphycus alvarezii
Kappaphycus striatus
Lachnoclostridium 1
Lachnoclostridium 10
Lachnoclostridium 12
Lachnoclostridium 5
Lachnospiraceae AC2044
Lachnospiraceae FCS020
Lachnospiraceae FE2018
Lachnospiraceae NC2004
Lachnospiraceae ND3007
Lachnospiraceae NK3A20
Lachnospiraceae NK4A136
Lachnospiraceae NK4B4
Lachnospiraceae UCG-001
Lachnospiraceae UCG-002
Lachnospiraceae UCG-003
Lachnospiraceae UCG-004
Lachnospiraceae UCG-006
Lachnospiraceae UCG-007
Lachnospiraceae UCG-008
Lachnospiraceae UCG-009
Lachnospiraceae UCG-010
Lachnospiraceae XPB1014
Lactoris fernandeziana
Lactuca sativa
Lactuca serriola
Lardizabala biternata
Laurus nobilis
Lecanicillium muscarium
Lecanicillium saksenae
Lecanora strobilina
Lens culinaris
Lepidoceras chilense
Leptococcus JA-3-3Ab
Leptogium hirsutum
Leptographium lundbergii
Leptographium truncatum
Letharia columbiana
Licania alba
Licania heteromorpha
Licania sprucei
Lilium hybrid
Limnolyngbya CHAB4449
Linum usitatissimum
Liriodendron tulipifera
Litchi chinensis
LNR A2-18
Lolium perenne
Lophophytum mirabile
Loriellopsis LF-B5
Lotus japonicus
Loxostege sticticalis
Luffa aegyptiaca
Lupinus angustifolius
Lupinus luteus
Lusitaniella LEGE
Lytechinus variegatus
M2PB4-61 termite
M2PT2-76 termite
Macadamia integrifolia
Macropereiopus parvus
Magnolia grandiflora
Malawimonas californiana
Malawimonas jakobiformis
Malus domestica
Malus hupehensis
Mangifera indica
Marchantia paleacea
Marine Group
marine group
Marine Methylotrophic
marine sediment
Masdevallia picturata
Mauloutchia chapelieri
Maytenus hookeri
Mazzaella japonica
MB11C04 marine
Medicago truncatula
Megaceros tosanus
Meliosma squamulata
Melita plumulosa
Mesembryanthemum crystallinum
Mesostigma viride
Metarhizium anisopliae
Metarhizium robertsii
Methanomicrobia archaeon
microbial mat
Microseira Carmichael-Alabama
Microsporum canis
Millettia pinnata
Mitrastemon kanehirai
mixed culture
MN 122.2a
Momordica charantia
Monotropastrum humile
Monsonia emarginata
Monsonia vanderietiae
Moorea 3L
Morus alba
Morus notabilis
mouse gut
Musa ABB
Musa acuminata
Musa itinerans
museum specimen
MWH-UniP1 aquatic
Myristica fragrans
Nageia nagi
Nannizzia nana
Nannochloropsis granulata
Nannochloropsis limnetica
Nannochloropsis oceanica
Nannochloropsis oculata
Nanohaloarchaea archaeon
Neckera menziesii
Nelumbo nucifera
Neolamarckia cadamba
Nephroselmis olivacea
Nicotiana attenuata
Nicotiana benthamiana
Nicotiana otophora
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tabacum/Hyoscyamus
Nicotiana tomentosiformis
Nitella hyalina
Noccaea caerulescens
Nothoceros aenigmaticus
Nothofagus nervosa
Notothylas orbicularis
NS10 marine
NS2b marine
NS3a marine
NS4 marine
NS5 marine
Nyholmiella gymnostoma
Nyholmiella obtusifolia
Ocimum tenuiflorum
Oenothera berteroana
Oikopleura dioica
Olavius ilvae
Olea europaea
OM27 clade
OM43 clade
OM60(NOR5) clade
OM75 clade
Oncidium hybrid
Ophioglossum californicum
Ophioglossum vulgatum
Ophiostoma carpenteri
Ophiostoma minus
Ophiostoma novo-ulmi
Ophiostoma ulmi
Orobanche austrohispanica
Orobanche coerulescens
Orontium aquaticum
Oropetium thomaeum
Orthotrichum bicolor
Orthotrichum callistomum
Orthotrichum diaphanum
Orthotrichum lyellii
Orthotrichum macrocephalum
Orthotrichum pulchellum
Orthotrichum rogeri
Orthotrichum speciosum
Orthotrichum stellatum
Oryza barthii
Oryza glaberrima
Oryza glumipatula
Oryza longistaminata
Oryza meridionalis
Oryza meyeriana
Oryza minuta
Oryza nivara
Oryza officinalis
Oryza punctata
Oryza rufipogon
Oryza sativa
p-1088-a5 gut
Pachycladon cheesemanii
Pachycladon fastigiatum
Pachysandra procumbens
Paecilomyces hepiali
Paeonia lactiflora
Paeonia suffruticosa
Palmaria palmata
Palpitomonas bilix
Panax ginseng
Pandanus boninensis
Panicum hallii
Paracoccidioides brasiliensis
Parengyodontium album
Parinari campestris
Peltigera dolichorrhiza
Peltigera malacea
Peltigera membranacea
Penicilliopsis zonata
Penicillium brasilianum
Penicillium capsulatum
Penicillium chrysogenum
Penicillium coprophilum
Penicillium digitatum
Penicillium expansum
Penicillium glabrum
Penicillium griseofulvum
Penicillium janthinellum
Penicillium nordicum
Penicillium punicae
Penicillium roqueforti
Penicillium rubens
Penicillium rubrisclerotium
Penicillium solitum
Penicillium tardum
Penicillium thomii
Penstemon centranthifolius
Penstemon grinnellii
Peperomia fosterii
Peperomia obtusifolia
Periglandula ipomoeae
Persicaria minor
Persoonia katerae
Petrophile canescens
Petunia axillaris
Petunia exserta
Petunia integrifolia
Peumus boldus
Phaeoceros laevis
Phalaenopsis aphrodite
Phalaenopsis equestris
Phaseolus acutifolius
Phaseolus vulgaris
Phegopteris hexagonoptera
Phlegmariurus squarrosus
Phlox drummondii
Phoenix dactylifera
Phyllocladus trichomanoides
Phyllostachys praecox
Physcomitrella patens
Phytophthora agathidicida
Phytophthora andina
Phytophthora cinnamomi
Phytophthora infestans
Phytophthora lateralis
Phytophthora mirabilis
Phytophthora multivora
Phytophthora phaseoli
Phytophthora pluvialis
Phytophthora ramorum
Phytophthora taxon
Picea glauca
Picrorhiza kurrooa
Pilostyles thurberi
Pinus canariensis
Pinus strobus
Pinus sylvestris
Pinus taeda
Piper betle
Pir1 lineage
Pir2 lineage
Pir3 lineage
Pir4 lineage
Pisum sativum
planctomycete DDD3G8
planctomycete LX80
planctomycete MS1330
planctomycete MS3039
planctomycete WWH14
planctomycete WY108
Plantago afra
Plantago atrata
Plantago australis
Plantago coronopus
Plantago lanceolata
Plantago media
Plantago rigida
Plantago rugelii
Plantago sericea
Plasmodium berghei
Plasmodium chabaudi
Plasmodium cynomolgi
Plasmodium falciparum
Plasmodium gaboni
Plasmodium gallinaceum
Plasmodium gonderi
Plasmodium reichenowi
Plasmodium relictum
Plasmodium yoelii
Platanus occidentalis
Plectranthus barbatus
Pleea tenuifolia
Pleurozia purpurea
Pleurozium schreberi
Poa infirma
Pochonia chlamydosporia
Podocarpus costalis
Podophyllum peltatum
Polyalthia suberosa
Polycephalomyces prolificus
Polypodium aureum
Polytrichum commune
Populus euphratica
Populus tremula
Populus trichocarpa
Porites astreoides
Porites australiensis
Porphyra purpurea
Porphyra umbilicalis
Posidonia oceanica
possible genus
Potamogeton berchtoldii
Prevotellaceae Ga6A1
Prevotellaceae NK3B31
Prevotellaceae UCG-001
Prevotellaceae UCG-003
Prevotellaceae UCG-004
Prevotellaceae YAB2003
Primula veris
probable genus
Prosopis alba
Prototheca wickerhamii
Prunus armeniaca
Prunus mume
Pseudogymnoascus pannorum
Pseudotsuga menziesii
Pterocladia media
Pterocladia mexicana
Pterocladia musciformis
Pterocladia robusta
Ptychomnion cygnisetum
Punica granatum
Pyramimonas parkeae
Pyronema omphalodes
Pyropia endiviifolia
Pyropia fucicola
Pyropia haitanensis
Pyropia kanakaensis
Pyropia nitida
Pyropia perforata
Pyropia tenera
Pyropia yezoensis
Pyrus pyrifolia
Pythium insidiosum
Pythium ultimum
Quercus lobata
Quercus robur
Racomitrium elongatum
Racomitrium emersum
Racomitrium ericoides
Racomitrium lanuginosum
Rafflesia cantleyi
Rafflesia leonardi
Rafflesia pricei
Raphanus sativus
Rauvolfia serpentina
Reclinomonas americana
Rhazya stricta
Rhodymenia pseudopalmata
Rhynchophorus ferrugineus
Rhynchosporium agropyri
Rhynchosporium commune
Rhynchosporium orthosporum
Rhynchosporium secalis
Rhytidiadelphus triquetrus
Rhytidium rugosum
Rice Cluster
Ricinus communis
Rikenellaceae RC9
Rosa chinensis
Roya obtusa
RS62 marine
Rs-D38 termite
Rs-H88 termite
Rubus hybrid
RumEn M2
Rumex acetosa
Rumex palustris
Ruminiclostridium 1
Ruminiclostridium 5
Ruminiclostridium 6
Ruminiclostridium 9
Ruminococcaceae NK4A214
Ruminococcaceae UCG-001
Ruminococcaceae UCG-002
Ruminococcaceae UCG-003
Ruminococcaceae UCG-004
Ruminococcaceae UCG-005
Ruminococcaceae UCG-007
Ruminococcaceae UCG-008
Ruminococcaceae UCG-009
Ruminococcaceae UCG-010
Ruminococcaceae UCG-011
Ruminococcaceae UCG-012
Ruminococcaceae UCG-013
Ruminococcaceae UCG-014
Ruminococcaceae V9D2013
S50 wastewater-sludge
Saccharina japonica
Saccharum hybrid
Saccharum officinarum
Salix purpurea
Salix suchowensis
saltmarsh clone
Salvia miltiorrhiza
Salvia pomifera
Sambucus canadensis
Sanguinaria canadensis
Sanionia uncinata
SAR116 cluster
SAR11 cluster
SAR92 clade
Sarcandra grandifolia
Sargassum aquifolium
Sargassum fusiforme
Sargassum hemiphyllum
Sargassum henslowianum
Sargassum spinuligerum
Sargassum vachellianum
Sargentodoxa cuneata
Sarocladium implicatum
Saruma henryi
Saururus cernuus
Sceptridium obliquum
SCGC AAA164-E04
Schima mertensiana
Schimmelmannia schousboei
Schisandra sphenanthera
Schizymenia dubyi
Schrenkiella parvula
Sclerospora graminicola
Sclerotinia borealis
Sclerotinia homoeocarpa
Scytolyngbya XSP1
Sebdenia flabellata
Secale cereale
secondary symbiont
Seculamonas ecuadoriensis
Sesamum indicum
Setaria italica
Silene conica
Silene dioica
Silene latifolia
Silene noctiflora
Silene vulgaris
Sinapis arvensis
Sinningia speciosa
Sinorickettsia chlamys
Siparuna decipiens
soda lake
Solanum arcanum
Solanum chacoense
Solanum habrochaites
Solanum incanum
Solanum lycopersicum
Solanum melongena
Solanum pennellii
Solanum pimpinellifolium
Solanum tuberosum
Sorghum bicolor
Spathiphyllum wallisii
Sphagnum angustifolium
Sphagnum aongstroemii
Sphagnum austinii
Sphagnum australe
Sphagnum balticum
Sphagnum bartlettianum
Sphagnum capillifolium
Sphagnum centrale
Sphagnum compactum
Sphagnum contortum
Sphagnum cuspidatum
Sphagnum falcatulum
Sphagnum fallax
Sphagnum fuscum
Sphagnum girgensohnii
Sphagnum lenense
Sphagnum lescurii
Sphagnum magellanicum
Sphagnum majus
Sphagnum obtusum
Sphagnum orientale
Sphagnum palustre
Sphagnum papillosum
Sphagnum portoricense
Sphagnum pylaesii
Sphagnum recurvum
Sphagnum riparium
Sphagnum rubellum
Sphagnum rubiginosum
Sphagnum squarrosum
Sphagnum strictum
Sphagnum subnitens
Sphagnum teres
Sphagnum tumidulum
Sphagnum wulfianum
Spirodela polyrhiza
Spongospora subterranea
Sporobolus stapfianus
Sporolithon durum
Stoneobryum bunyaense
Stoneobryum mirum
Strigamia maritima
SU2 symbiont
Subgroup 10
Subgroup 23
Succinivibrionaceae UCG-001
Succinivibrionaceae UCG-002
SUP05 cluster
Sva0081 sediment
Sva0996 marine
Swertia japonica
Symphothece PCC-7002
synthetic construct
Syntrichia filaris
Syntrichia ruralis
Syzygium luehmannii
Taihangia rupestris
Takakia lepidozioides
Talaromyces diversus
Talaromyces funiculosus
Talaromyces marneffei
Talaromyces minioluteus
Talaromyces phialosporus
Talaromyces piceae
Talaromyces pinophilus
Talaromyces pittii
Talaromyces purpureogenus
Talaromyces rugulosus
Talaromyces siamensis
Talaromyces variabilis
Taraxacum kok-saghyz
Tasmannia insipida
Tayloria mirabilis
Tectona grandis
termite gut
Termite planctomycete
Tetracentron sinense
Tetraphis pellucida
Tetraplodon fuegianus
Thaumarchaeota archaeon
Thecamonas trahens
Theobroma cacao
Thermoplasmatales archaeon
Thermosynechococcus BP-1
Thlaspi arvense
Thottea tomentosa
Thymallus thymallus
TM7 phylum
Tofieldia calyculata
Tolypocladium inegoense
Tolypocladium japonicum
Tolypocladium ophioglossoides
Tolypocladium paradoxum
Tomentypnum nitens
Treubia lacunosa
Trichoderma asperellum
Trichoderma deliquescens
Trichoderma gamsii
Trichoderma reesei
Trichophyton mentagrophytes
Trichophyton rubrum
Trichosanthes kirilowii
Trifolium pratense
Trifolium subterraneum
Triglochin maritima
Trigonala elaeagnus
Trimenia moorei
Tripsacum dactyloides
Triticum aestivum
Triticum timopheevii
Triticum turgidum
Triticum urartu
Trochodendron aralioides
Tsukubamonas globosa
Tuber borchii
Tyzzerella 3
Tyzzerella 4
Ulota crispa
Ulota hutchinsiae
Ulota phyllantha
Urania-1B-19 marine
Utricularia gibba
Vaccinium macrocarpon
Veillonellaceae UCG-001
Veronica agrestis
Verticillium dahliae
Verticillium nonalfalfae
Vicia faba
Victoria cf.
Vigna angularis
Vigna radiata
Viola uliginosa
Vitis vinifera
wallaby gut
Welwitschia mirabilis
Wildemania schizophylla
Withania somnifera
Xanthorhiza simplicissima
Xanthosoma mafaffa
Xerophyta viscosa
Zamia integrifolia
Zantedeschia aethiopica
Zasmidium cellare
Zea luxurians
Zea mays
Ziziphus jujuba
Zoysia japonica
Zygodon viridissimus
